uniqueID,tires,Weight,Quarterly_Tax,Doors,CC,Automatic,Met_Color,HP,KM,Age_08_04,Price
139,1,1320,64,5,2000,0,1,116,25000,11,23000
140,1,1130,85,5,1600,0,1,110,23000,20,19900
141,1,1110,85,5,1400,0,1,97,22588,20,16450
142,1,1185,19,5,1800,0,1,192,21684,19,23950
143,1,1130,85,5,1600,0,1,110,21428,13,19950
144,1,1090,85,4,1600,0,1,110,20629,16,18500
145,1,1130,85,5,1600,0,1,110,20270,15,18950
146,1,1110,85,5,1400,0,0,97,20105,16,16450
147,1,1165,100,5,1600,1,0,110,20000,20,20500
148,1,1130,85,5,1600,0,1,110,19988,13,24500
149,1,1130,85,5,1600,0,0,110,18328,19,19450
150,1,1150,85,4,1600,1,1,110,17896,14,20950
151,1,1110,85,5,1400,0,1,97,17300,20,17200
152,1,1130,85,5,1600,0,0,110,17038,19,19950
153,1,1110,85,5,1400,0,1,97,13747,10,18450
154,1,1115,85,5,1600,0,1,110,13634,12,19500
155,1,1130,85,5,1600,0,1,110,13178,13,21750
156,1,1085,85,4,1400,0,1,97,13157,15,16868
157,1,1105,85,4,1600,0,1,110,13000,16,19500
158,1,1115,85,5,1600,0,1,110,12500,11,18900
159,1,1130,85,5,1600,0,1,110,11999,17,19750
160,1,1180,100,5,1600,1,0,110,11754,16,19750
161,1,1105,85,4,1600,0,1,110,11000,16,18950
162,1,1105,85,5,1598,0,0,110,10000,17,20750
163,1,1115,85,5,1600,0,1,110,7650,9,19600
164,1,1100,85,4,1600,0,1,110,6500,14,19500
165,1,1110,85,5,1400,0,1,97,6155,11,17650
166,1,1130,85,5,1600,0,0,110,6000,14,19950
167,1,1130,85,5,1600,0,1,110,5459,14,19950
168,1,1150,85,4,1600,1,1,110,5278,14,20950
169,1,1130,85,5,1600,0,1,110,5000,12,20500
170,1,1065,19,4,1400,0,1,98,1,9,17795
171,1,1075,19,5,1600,0,1,110,1,9,18245
172,1,1130,85,5,1600,0,1,110,11000,8,23750
173,1,1110,85,5,1400,0,1,97,10077,8,19500
174,1,1110,85,5,1400,0,1,97,10000,8,18950
175,1,1130,85,5,1600,0,1,110,9788,8,21950
176,1,1130,85,5,1600,0,1,110,8574,8,19950
177,1,1115,85,5,1600,0,0,110,7000,8,18950
178,1,1115,85,5,1600,0,1,110,6250,7,19950
179,1,1130,85,5,1600,0,1,110,5000,8,21950
180,1,1130,85,5,1600,0,0,110,3000,6,22500
181,1,1075,19,5,1600,0,0,110,2000,7,18500
182,1,1110,85,5,1400,0,1,97,450,7,18700
183,1,1110,85,5,1400,0,1,97,225,2,21125
184,1,1130,85,5,1600,0,1,110,15,2,21500
185,1,1100,19,4,1400,0,1,98,1,1,17795
186,1,1075,19,5,1600,0,1,110,1,1,18245
187,1,1110,185,3,1900,0,0,69,243000,43,6950
188,1,1160,210,4,2000,0,0,90,180638,38,9500
189,1,1205,210,5,2000,0,1,90,179860,40,11950
190,1,1084,197,3,1600,0,0,110,178858,43,7750
191,1,1105,185,3,1900,0,1,69,161000,40,11950
192,1,1110,64,5,1800,0,0,69,158320,44,4350
193,1,1110,64,5,1800,0,1,69,131273,44,4750
194,1,1140,185,5,1900,0,1,69,130062,40,11750
195,1,1140,185,5,1900,0,1,69,123425,41,13250
196,1,1075,85,5,1600,0,1,110,118217,37,11950
197,1,1095,185,5,1900,0,1,69,110000,44,11900
198,1,1205,210,5,2000,0,1,90,108847,39,14750
199,1,1025,69,3,1400,0,1,97,105699,42,9950
200,1,1119,197,5,1600,0,1,110,98823,39,11950
201,1,1075,85,5,1600,0,1,110,96829,44,11495
202,1,1025,69,3,1400,0,1,97,96518,40,11250
203,1,1075,85,5,1600,0,1,110,92204,42,10500
204,1,1110,185,3,1900,0,1,69,91456,35,10450
205,1,1140,185,5,1900,0,1,69,89968,43,12950
206,1,1045,69,3,1600,0,1,110,89757,44,11500
207,1,1075,85,5,1600,0,1,110,85389,40,12500
208,1,1060,85,5,1400,0,0,97,85017,43,10950
209,1,1080,85,5,1600,0,0,110,84312,41,11450
210,1,1121,197,5,1600,0,1,110,82743,37,11950
211,1,1140,185,5,1900,0,1,69,81106,41,13250
212,1,1205,210,5,2000,0,1,90,80425,40,14750
213,1,1105,85,5,1600,1,1,110,78677,34,11790
214,1,1075,85,5,1600,0,1,110,78425,40,11450
215,1,1170,210,3,2000,0,1,90,78108,33,13500
216,1,1075,85,5,1600,0,1,110,77321,33,10950
217,1,1105,185,3,1900,0,0,69,75699,33,13500
218,1,1025,69,3,1400,0,1,97,75697,41,10950
219,1,1025,69,3,1400,0,1,97,74846,44,10950
220,1,1075,85,5,1600,0,1,110,74319,38,12950
221,1,1075,85,5,1600,0,1,110,74285,43,11950
222,1,1615,163,5,1600,0,1,110,74172,44,12450
223,1,1075,85,5,1598,0,1,110,73042,40,11950
224,1,1067,197,4,1600,0,1,110,71793,44,14950
225,1,1075,85,5,1600,0,1,110,71200,35,12450
226,1,1075,85,5,1600,0,1,110,67805,38,12950
227,1,1040,69,3,1600,0,1,110,65988,35,11950
228,1,1060,85,5,1400,0,1,97,65345,34,11690
229,1,1080,85,5,1600,0,1,110,64564,42,12450
230,1,1060,85,5,1400,0,1,97,63459,36,12750
231,1,1025,69,3,1400,0,0,97,63451,44,11925
232,1,1075,19,5,1600,0,1,110,62000,33,12950
233,1,1030,69,3,1400,0,1,97,61300,42,11950
234,1,1045,69,3,1600,0,1,110,61200,41,12900
235,1,1075,85,5,1600,0,0,110,61000,41,11900
236,1,1075,85,5,1600,0,1,110,60829,38,11650
237,1,1075,85,5,1600,0,0,110,60500,44,10950
238,1,1110,64,3,1900,0,1,69,59500,35,13950
239,1,1110,85,5,1600,1,0,110,59000,44,13950
240,1,1080,85,5,1600,0,1,110,58954,40,11950
241,1,1075,85,5,1600,0,1,110,58798,38,10950
242,1,1055,85,3,1600,0,1,110,58363,38,12450
243,1,1045,69,3,1600,0,1,110,58277,43,11950
244,1,1165,210,3,2000,0,1,90,57711,33,13500
245,1,1075,85,5,1600,0,1,110,57269,33,11690
246,1,1075,85,5,1600,0,1,110,56001,39,13500
247,1,1050,69,3,1600,0,0,110,55968,42,11950
248,1,1030,69,4,1600,0,1,110,55678,39,12900
249,1,1085,85,5,1600,0,1,110,55539,43,13500
250,1,1075,85,5,1600,0,0,110,55400,42,11750
251,1,1075,85,5,1600,0,0,110,55350,33,11750
252,1,1030,69,4,1600,0,0,110,54600,43,10850
253,1,1075,85,5,1600,0,1,110,53773,43,11750
254,1,1105,85,5,1600,1,1,110,53719,42,14950
255,1,1075,19,5,1600,0,1,110,53644,39,9940
256,1,1075,85,5,1600,0,0,110,53350,42,12900
257,1,1075,85,5,1600,0,1,110,53000,38,13500
258,1,1025,69,3,1400,0,1,97,52084,44,11750
259,1,1025,69,3,1400,0,0,97,52000,44,11950
260,1,1075,85,5,1600,0,1,110,51945,33,13450
261,1,1025,69,3,1400,0,1,97,51732,41,11950
262,1,1075,85,5,1600,0,1,110,50873,39,12495
263,1,1030,69,4,1600,0,0,110,50856,41,13500
264,1,1075,85,5,1600,0,1,110,50640,40,12750
265,1,1060,85,5,1400,0,1,97,50000,39,12000
266,1,1075,85,5,1600,0,1,110,49500,38,11950
267,1,1080,85,5,1600,0,1,110,49332,44,12495
268,1,1040,69,3,1600,0,1,110,49291,34,12450
269,1,1205,210,5,2000,0,1,90,48952,40,14750
270,1,1040,69,3,1600,0,0,110,48945,39,10950
271,1,1105,185,3,1900,0,1,69,48928,33,13500
272,1,1075,85,5,1600,0,1,110,48197,38,12950
273,1,1105,185,3,1900,0,1,69,48052,35,13500
274,1,1030,69,4,1600,0,1,110,48011,34,13450
275,1,1075,85,5,1600,0,1,110,48000,43,13500
276,1,1075,85,5,1600,0,1,110,47350,41,11480
277,1,1060,85,5,1400,0,1,97,46821,39,13450
278,1,1040,69,3,1600,0,0,110,46694,39,11495
279,1,1025,69,5,1400,0,0,97,46515,43,12750
280,1,1055,85,3,1600,0,1,110,46327,38,14990
281,1,1060,85,5,1400,0,1,97,46304,35,12950
282,1,1080,85,5,1600,0,1,110,45886,40,12950
283,1,1085,19,5,1400,0,1,97,45713,39,12850
284,1,1105,85,5,1600,1,1,110,45600,40,13950
285,1,1075,85,5,1600,0,1,110,45287,41,11950
286,1,1075,85,5,1600,0,1,110,45081,39,12950
287,1,1075,85,5,1600,0,1,110,44830,40,11700
288,1,1025,69,3,1400,0,0,97,44757,37,9950
289,1,1060,85,5,1400,0,1,97,44218,44,11895
290,1,1075,85,5,1600,0,1,110,43632,43,12950
291,1,1040,69,3,1600,0,1,110,43427,36,12500
292,1,1075,85,5,1600,0,1,110,43254,39,13875
293,1,1050,69,3,1600,0,0,110,43000,35,10500
294,1,1075,85,5,1600,0,1,110,42823,33,12295
295,1,1080,85,5,1600,0,1,110,42560,42,13950
296,1,1040,69,3,1600,0,0,110,41754,38,10950
297,1,1103,197,5,1600,0,1,110,41499,44,12950
298,1,1080,85,5,1600,0,1,110,41339,40,12850
299,1,1075,85,5,1600,0,1,110,41000,35,13995
300,1,1055,85,3,1600,0,1,110,40000,39,13750
301,1,1075,85,5,1600,0,1,110,39757,37,12750
302,1,1045,69,3,1600,0,1,110,39659,41,12500
303,1,1055,85,3,1600,0,0,110,39650,43,13950
304,1,1025,69,3,1398,0,1,97,39524,39,11500
305,1,1060,85,5,1400,0,1,97,39516,44,13950
306,1,1060,85,5,1400,0,0,97,39439,41,11895
307,1,1025,69,3,1400,0,1,97,39000,44,9950
308,1,1040,69,3,1600,0,1,110,38932,42,13500
309,1,1025,69,3,1400,0,0,97,38812,37,11450
310,1,1075,85,5,1600,0,1,110,38665,42,12450
311,1,1080,85,5,1600,0,1,110,38653,40,12950
312,1,1080,85,5,1600,0,1,110,38461,44,13995
313,1,1025,69,3,1400,0,0,97,38078,42,11750
314,1,1060,85,5,1400,0,1,97,37782,39,11650
315,1,1030,69,3,1400,0,0,97,37576,43,9950
316,1,1075,85,5,1600,0,1,110,37533,41,13950
317,1,1080,85,5,1600,0,1,110,37389,44,12950
318,1,1025,69,3,1400,0,1,97,37320,38,10950
319,1,1025,69,3,1400,0,1,97,37000,42,9900
320,1,1075,19,4,1600,0,0,110,37000,44,11950
321,1,1090,85,5,1600,0,0,110,36566,40,11990
322,1,1075,85,5,1600,0,1,110,36269,36,10750
323,1,1075,19,5,1600,1,1,110,36074,37,13950
324,1,1040,69,3,1600,0,1,110,36066,44,11250
325,1,1075,85,5,1600,0,1,110,34599,39,12950
326,1,1075,85,5,1600,0,1,110,34000,41,11950
327,1,1025,69,3,1400,0,1,97,33623,42,10950
328,1,1075,85,5,1600,0,1,110,33591,33,12950
329,1,1075,85,5,1600,0,1,110,33258,35,12950
330,1,1075,85,5,1600,0,1,110,33113,43,11695
331,1,1075,19,5,1600,1,1,110,33000,41,11000
332,1,1080,85,5,1600,0,1,110,32941,35,13950
333,1,1075,85,5,1600,0,0,110,32781,38,11950
334,1,1040,69,3,1600,0,1,110,32532,40,11750
335,1,1060,85,5,1400,0,1,97,32431,34,12400
336,1,1040,69,3,1600,0,0,110,32000,35,12500
337,1,1075,19,5,1600,0,1,110,31000,33,12900
338,1,1045,69,3,1600,0,0,110,30989,41,12200
339,1,1040,69,3,1600,0,1,110,30742,43,12750
340,1,1075,85,5,1600,0,1,110,30190,42,11950
341,1,1075,85,5,1600,0,1,116,29716,41,11900
342,1,1070,85,3,1600,1,1,110,29716,44,11950
343,1,1055,85,3,1600,0,0,110,29640,42,14950
344,1,1060,85,5,1400,0,1,97,29056,41,11950
345,1,1075,85,5,1600,0,1,110,28715,33,12950
346,1,1090,85,5,1600,0,0,110,28571,41,14950
347,1,1040,69,3,1600,0,1,110,28362,40,13450
348,1,1075,85,5,1600,0,1,110,28150,38,13750
349,1,1040,69,3,1600,0,1,110,27301,43,12950
350,1,1075,85,5,1600,0,1,110,27240,33,12750
351,1,1060,85,5,1400,0,1,97,27170,39,11895
352,1,1060,85,5,1400,0,1,97,27141,42,9950
353,1,1075,85,5,1600,0,1,110,26262,38,12450
354,1,1060,85,5,1400,0,1,97,26000,38,12500
355,1,1045,69,3,1600,0,1,110,25228,43,14950
356,1,1080,85,5,1600,0,1,110,25062,39,13750
357,1,1060,85,4,1600,1,1,110,24723,39,12695
358,1,1055,85,3,1600,0,1,110,24650,33,14990
359,1,1080,85,5,1600,0,1,110,24553,43,12750
360,1,1030,69,5,1600,0,1,110,24475,41,14350
361,1,1040,69,3,1600,0,1,110,24444,39,12950
362,1,1025,69,3,1400,0,0,97,24011,35,11500
363,1,1025,69,3,1400,0,1,97,24000,41,11950
364,1,1075,85,5,1600,0,1,110,23616,40,13450
365,1,1075,85,5,1600,0,1,110,22865,38,12900
366,1,1035,69,5,1300,0,1,86,22780,41,10500
367,1,1025,69,3,1400,0,0,97,21904,35,10950
368,1,1025,69,3,1400,0,0,97,21651,41,11950
369,1,1030,69,5,1600,0,1,110,21500,37,11450
370,1,1080,85,5,1600,0,1,110,21027,44,13250
371,1,1030,69,4,1600,0,0,110,18500,39,10250
372,1,1075,85,5,1600,0,1,110,18000,35,13995
373,1,1060,85,5,1400,0,0,97,17051,40,11950
374,1,1085,19,5,1400,0,1,97,16512,33,13250
375,1,1080,85,5,1600,0,1,110,16325,40,12950
376,1,1060,85,5,1400,0,1,97,16000,38,11750
377,1,1075,85,5,1600,0,1,110,12000,39,11500
378,1,1060,85,5,1400,0,1,97,10000,43,13500
379,1,1110,185,3,1900,0,0,69,216000,53,6500
380,1,1095,185,4,1900,0,0,69,198167,51,6400
381,1,1105,185,3,1900,0,0,69,176000,53,7000
382,1,1100,185,4,2000,0,1,72,174139,54,7750
383,1,1095,185,5,1900,0,1,69,174000,45,8900
384,1,1075,72,3,1600,0,1,110,150000,55,8500
385,1,1135,185,5,2000,0,1,72,149329,54,8950
386,1,1080,85,5,1600,0,1,110,146736,51,9900
387,1,1140,185,5,1900,0,0,69,143513,53,10250
388,1,1119,197,5,1600,0,0,110,142130,48,9250
389,1,1110,64,5,1900,0,1,69,140700,48,7750
390,1,1095,185,4,1900,0,1,69,138394,54,9450
391,1,1135,185,5,2000,0,1,72,137000,55,7750
392,1,1140,185,5,1900,0,1,69,135258,52,8250
393,1,1075,85,5,1600,0,1,110,131364,49,9950
394,1,1110,64,5,1800,0,0,69,129155,56,4450
395,1,1055,85,3,1600,0,0,110,126110,50,9950
396,1,1080,85,5,1600,0,1,110,119742,48,9000
397,1,1110,64,5,1900,0,1,69,117913,53,9950
398,1,1165,210,3,2000,0,1,90,117430,47,12450
399,1,1035,69,4,1600,0,1,110,117175,55,10500
400,1,1035,69,4,1600,0,1,110,115558,54,10750
401,1,1025,69,3,1400,0,1,97,115113,53,8950
402,1,1140,185,5,1900,0,1,69,115046,54,10500
403,1,1135,64,5,2000,0,1,72,113997,56,5150
404,1,1060,85,5,1400,0,0,97,107859,49,10950
405,1,1025,69,3,1400,0,1,97,104805,52,9450
406,1,1075,85,5,1600,0,1,110,103454,54,9950
407,1,1140,185,5,1900,0,0,69,103018,51,10950
408,1,1080,85,5,1600,0,1,110,102352,47,11900
409,1,1060,85,5,1400,0,1,97,102030,50,9950
410,1,1080,85,5,1600,0,0,110,101352,54,11950
411,1,1035,69,4,1600,0,1,110,99865,50,7900
412,1,1055,85,3,1600,0,1,110,99323,52,10950
413,1,1140,185,5,1900,0,1,69,98100,48,8950
414,1,1080,85,5,1600,0,0,110,98040,51,11950
415,1,1045,69,3,1600,0,1,110,97600,49,10900
416,1,1080,85,5,1600,0,0,110,97234,55,9950
417,1,1115,185,3,2000,0,0,72,96135,51,9950
418,1,1080,85,5,1600,0,1,110,96100,54,10950
419,1,1115,185,3,2000,0,0,72,94401,55,8950
420,1,1015,69,3,1300,0,1,86,94122,55,8950
421,1,1055,85,3,1600,0,1,110,91340,49,10500
422,1,1025,69,3,1400,0,0,97,90200,53,8950
423,1,1140,185,5,1900,0,1,69,90097,53,9250
424,1,1060,85,5,1400,0,1,97,89049,48,11500
425,1,1075,85,5,1600,0,0,110,89000,52,9750
426,1,1040,69,3,1600,0,1,110,87274,45,9950
427,1,1045,69,3,1600,0,0,110,86221,49,11450
428,1,1075,19,5,1600,0,0,110,84598,54,12500
429,1,1075,85,5,1600,0,0,110,83567,50,10500
430,1,1075,85,5,1600,0,1,110,83106,50,12950
431,1,1040,69,3,1600,0,1,110,82805,50,12200
432,1,1030,69,3,1400,0,1,97,82735,50,10950
433,1,1105,19,5,1600,0,1,110,81905,54,10950
434,1,1070,85,3,1600,1,1,110,80320,49,11290
435,1,1030,69,3,1400,0,1,97,80090,49,10750
436,1,1075,85,5,1600,0,0,110,79800,53,10895
437,1,1119,197,5,1600,0,1,110,78785,47,11500
438,1,1075,85,5,1600,0,1,110,78600,48,9750
439,1,1040,69,3,1600,0,0,110,77780,55,10250
440,1,1030,69,4,1600,0,0,110,77648,49,12500
441,1,1035,69,4,1600,0,1,110,77270,54,11950
442,1,1060,85,5,1400,0,1,97,76167,50,10750
443,1,1035,69,4,1600,0,1,110,75249,46,11450
444,1,1080,85,5,1600,0,1,110,75231,54,11950
445,1,1055,85,3,1600,0,1,110,75045,48,11750
446,1,1060,85,4,1600,1,1,110,74849,50,10950
447,1,1080,85,5,1600,0,1,110,74715,55,11950
448,1,1105,185,3,1900,0,0,69,74656,49,10995
449,1,1025,69,3,1400,0,0,97,74500,56,11450
450,1,1075,85,5,1600,0,1,110,74494,49,8900
451,1,1075,85,5,1587,0,0,110,73634,50,10500
452,1,1075,85,5,1600,0,1,110,73403,47,11750
453,1,1030,69,3,1400,0,1,97,73175,49,11450
454,1,1055,85,3,1600,0,0,110,73000,52,12000
455,1,1070,85,3,1600,1,0,110,72242,50,11950
456,1,1025,69,3,1400,0,1,97,72000,53,9850
457,1,1035,69,4,1600,0,1,110,71725,54,10950
458,1,1080,85,5,1600,0,0,110,71276,54,10950
459,1,1105,185,3,1900,0,1,69,70440,50,8695
460,1,1040,69,3,1600,0,0,110,70239,53,10990
461,1,1025,69,3,1400,0,1,97,69813,55,9500
462,1,1025,69,3,1300,0,0,86,69659,49,11950
463,1,1065,85,5,1400,0,0,97,69574,46,10750
464,1,1140,185,5,1900,0,1,69,69000,47,8750
465,1,1030,69,4,1600,0,1,110,68565,49,8750
466,1,1115,185,3,2000,0,1,72,68520,55,11450
467,1,1025,69,3,1400,0,0,97,68414,46,9950
468,1,1090,85,5,1600,0,0,110,66777,56,11950
469,1,1080,85,5,1600,0,1,110,66527,52,13950
470,1,1090,85,5,1600,0,1,110,66063,54,11250
471,1,1060,85,5,1400,0,1,97,65471,50,10900
472,1,1025,69,3,1400,0,1,97,65400,56,9750
473,1,1025,69,3,1400,0,1,97,65170,52,9950
474,1,1075,19,5,1600,0,1,110,65000,56,11950
475,1,1040,69,3,1600,0,1,110,64193,48,10450
476,1,1025,69,3,1400,0,1,97,64000,54,8950
477,1,1075,85,5,1600,0,1,110,63792,54,10250
478,1,1035,69,4,1600,0,1,110,63635,53,9930
479,1,1050,69,3,1600,0,1,110,63135,54,10500
480,1,1035,69,4,1600,0,1,110,63123,54,11950
481,1,1140,185,5,1900,0,1,69,63000,48,11500
482,1,1035,69,4,1600,0,0,110,63000,55,11500
483,1,1080,85,5,1600,0,0,110,62987,54,11450
484,1,1050,69,3,1600,0,0,110,62751,56,9900
485,1,1025,69,3,1400,0,0,97,62519,54,9500
486,1,1060,85,5,1400,0,1,97,62280,50,10500
487,1,1075,85,5,1600,0,0,110,61672,50,10750
488,1,1140,185,5,2000,0,0,69,61000,54,8950
489,1,1050,69,3,1600,0,1,110,61000,56,12000
490,1,1105,19,4,1600,0,1,110,60558,53,9940
491,1,1030,69,4,1600,0,0,110,60348,47,10950
492,1,1075,85,5,1600,0,1,110,60239,54,10750
493,1,1025,69,3,1400,0,1,97,59000,51,9799
494,1,1060,85,5,1300,0,0,97,58761,51,11750
495,1,1035,69,4,1600,0,1,110,58745,54,11950
496,1,1045,69,3,1600,0,1,110,58596,52,11250
